CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2018 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
33,Chile,Chile,Americas,20.00,3.00,75.20,67.90,63.40,61.20,78.00,81.30,91.70,72.40,60.40,82.40,88.70,85.00,70.00,0.64,35.00,25.00,18.80,24.99,Chile,18.20,438.75,2.10,3.04,24112.94,6.57,3.79,11265.71,21.18
34,China,China,Asia-Pacific,110.00,24.00,57.80,46.70,65.40,47.30,70.40,71.60,85.90,54.90,61.40,71.40,73.20,25.00,20.00,3.41,45.00,25.00,17.50,30.75,China,1382.71,21291.77,6.90,7.32,15398.58,4.61,2.00,133700.00,46.23
35,Colombia,Colombia,Americas,42.00,6.00,68.90,60.70,36.40,33.40,80.30,74.40,82.20,78.60,75.20,73.90,81.60,80.00,70.00,4.21,33.00,25.00,16.10,29.20,Colombia,48.75,688.82,3.10,3.66,14130.18,9.87,7.51,13592.65,47.59
36,Comoros,Comoros,Sub-Saharan Africa,121.00,18.00,56.20,36.70,28.20,27.50,59.70,77.80,96.60,57.50,58.70,81.20,74.90,45.00,30.00,5.04,30.00,50.00,25.10,27.19,Comoros,0.82,1.26,1.00,2.32,1529.16,19.96,2.00,8.02,26.27
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,147.00,30.00,52.10,24.10,23.90,27.30,73.20,94.80,99.10,60.20,47.80,60.30,64.60,30.00,20.00,10.19,30.00,40.00,13.60,13.19,"Congo, Democratic Republic of the Congo",84.13,65.04,7.70,6.87,773.06,3.64,22.43,1204.71,21.51
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,177.00,47.00,38.90,32.40,28.20,24.60,60.80,33.40,6.20,31.30,34.10,73.80,61.90,50.00,30.00,11.55,45.00,34.00,27.20,47.11,"Congo, Republic of",4.46,29.78,2.50,2.77,6676.10,11.19,3.58,2006.00,82.96
39,Costa Rica,CostaRica,Americas,57.00,11.00,65.60,54.80,57.80,51.80,79.30,88.90,46.80,68.30,50.30,85.00,84.70,70.00,50.00,2.66,25.00,30.00,23.40,19.26,Costa Rica,4.91,80.70,3.70,3.96,16435.83,9.00,-0.02,2762.14,43.71
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,85.00,6.00,62.00,39.40,44.20,36.60,76.40,84.60,80.80,62.10,47.60,73.60,73.70,75.00,50.00,8.16,36.00,25.00,20.90,22.65,Côte d'Ivoire,24.33,87.80,8.60,8.93,3609.03,9.32,1.00,481.03,48.77
41,Croatia,Croatia,Europe,92.00,39.00,61.00,65.90,56.50,40.50,66.00,32.50,67.20,58.90,43.00,79.10,87.40,75.00,60.00,1.30,40.00,20.00,37.40,47.42,Croatia,4.17,95.06,1.60,0.17,22795.31,13.48,-1.13,1744.66,84.38
42,Cuba,Cuba,Americas,178.00,31.00,31.90,29.70,10.00,38.10,49.00,0.00,64.40,20.00,20.00,66.40,64.70,10.00,10.00,7.66,50.00,30.00,41.20,62.41,Cuba,11.50,142.00,4.30,2.04,12390.00,2.92,4.50,n/a,42.50
43,Cyprus,Cyprus,Europe,48.00,24.00,67.80,71.20,56.70,41.30,75.20,52.90,79.30,77.00,55.70,83.00,86.90,75.00,60.00,1.57,35.00,12.50,33.20,39.63,Cyprus,0.85,29.67,1.60,-1.23,34970.30,11.73,-1.22,4137.76,107.96
44,Czech Republic,CzechRepublic,Europe,24.00,13.00,74.20,73.00,57.90,51.10,82.90,48.60,96.20,72.50,76.80,85.20,86.90,80.00,80.00,1.57,15.00,19.00,33.47,41.41,Czech Republic,10.55,350.72,4.20,1.68,33231.52,4.05,0.69,6751.87,37.67
45,Denmark,Denmark,Europe,12.00,6.00,76.60,84.80,83.60,84.10,41.40,10.60,96.70,92.50,82.80,86.40,86.90,90.00,80.00,1.57,56.00,23.50,46.62,54.59,Denmark,5.71,273.87,1.20,1.12,47985.37,6.05,0.25,950.72,39.87
46,Djibouti,Djibouti,Sub-Saharan Africa,171.00,43.00,45.10,19.00,13.80,29.00,69.80,27.20,18.00,51.70,58.90,69.50,54.90,80.00,50.00,17.56,30.00,25.00,38.70,49.26,Djibouti,0.99,3.35,6.50,5.77,3369.58,6.61,3.00,160.00,31.26
47,Dominica,Dominica,Americas,66.00,13.00,64.50,48.60,69.20,49.90,72.90,64.80,85.20,71.70,57.70,86.60,62.60,75.00,30.00,13.72,35.00,30.00,24.10,34.23,Dominica,0.07,0.81,-4.30,0.54,11374.59,N/A,0.03,31.37,80.97
48,Dominican Republic,DominicanRepublic,Americas,89.00,18.00,61.60,51.70,23.10,26.20,84.60,90.60,90.50,53.20,54.30,77.10,72.40,75.00,40.00,6.30,25.00,27.00,13.70,17.69,Dominican Republic,10.08,161.84,7.00,5.75,16049.46,14.36,1.61,2406.70,34.44
49,Ecuador,Ecuador,Americas,165.00,28.00,48.50,36.70,23.30,30.20,79.40,52.50,47.00,55.60,43.70,70.10,68.80,35.00,40.00,5.60,35.00,22.00,18.80,39.80,Ecuador,16.53,183.61,0.00,2.51,11108.56,5.36,1.72,744.04,29.24
50,Egypt,Egypt,Middle East / North Africa,139.00,11.00,53.40,32.70,52.50,32.20,84.20,65.10,1.20,71.50,51.50,69.60,70.90,60.00,50.00,7.04,25.00,25.00,18.20,34.10,Egypt,90.20,1132.37,4.20,3.42,12553.94,12.01,10.20,8106.80,97.07
51,El Salvador,ElSalvador,Americas,75.00,16.00,63.20,37.30,35.40,25.20,78.90,86.30,78.50,58.20,52.90,79.80,86.40,80.00,60.00,1.79,30.00,30.00,17.50,21.35,El Salvador,6.15,54.79,2.40,2.00,8909.43,6.29,0.60,373.45,59.89
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,175.00,45.00,42.00,29.80,17.60,26.20,69.60,61.00,19.10,45.60,29.80,81.70,53.80,40.00,30.00,15.60,35.00,35.00,24.30,36.06,Equatorial Guinea,0.82,31.72,-12.20,-2.75,38639.07,7.33,1.40,53.96,21.66
53,Eritrea,Eritrea,Sub-Saharan Africa,176.00,46.00,41.70,35.50,13.80,23.40,79.90,75.60,0.00,56.70,65.70,60.90,69.20,0.00,20.00,5.40,30.00,30.00,14.40,28.52,Eritrea,6.50,9.17,4.80,4.70,1410.33,7.27,9.00,52.31,125.54
54,Estonia,Estonia,Europe,7.00,3.00,78.80,80.40,83.90,75.70,80.70,52.60,99.80,75.60,54.80,85.10,86.90,90.00,80.00,1.57,20.00,20.00,33.59,39.76,Estonia,1.31,38.45,1.10,2.31,29312.90,6.91,0.80,870.45,9.49
55,Ethiopia,Ethiopia,Sub-Saharan Africa,142.00,27.00,52.80,31.10,37.60,37.70,76.50,90.60,85.50,40.20,51.30,67.10,60.70,35.00,20.00,12.14,35.00,30.00,15.10,17.73,Ethiopia,91.20,177.46,10.20,9.46,1945.89,5.74,7.26,3196.39,54.86
56,Fiji,Fiji,Asia-Pacific,84.00,19.00,62.00,68.30,47.10,34.80,81.40,68.20,63.00,62.80,70.80,74.10,68.80,55.00,50.00,10.58,29.00,20.00,24.80,32.58,Fiji,0.90,8.30,4.30,3.46,9268.06,7.94,3.87,269.51,49.60
57,Finland,Finland,Europe,26.00,15.00,74.10,89.00,82.70,89.80,66.50,2.30,81.10,89.90,50.50,86.00,86.90,85.00,80.00,1.57,31.80,20.00,43.99,57.05,Finland,5.49,231.37,0.40,-0.23,42164.60,9.00,0.39,42.03,63.56
58,France,France,Europe,71.00,34.00,63.90,84.00,72.70,65.10,47.30,2.70,60.80,80.20,45.00,81.60,81.90,75.00,70.00,1.57,45.00,34.30,45.50,56.95,France,64.61,2733.68,1.10,0.78,42313.99,9.97,0.31,28351.62,96.65
59,Gabon,Gabon,Sub-Saharan Africa,109.00,13.00,58.00,29.90,27.80,33.40,74.30,84.60,92.30,49.30,61.70,81.40,60.90,60.00,40.00,14.54,35.00,30.00,21.20,22.62,Gabon,1.88,35.85,4.00,4.27,19056.49,18.51,2.09,703.19,61.97
60,Gambia,Gambia,Sub-Saharan Africa,145.00,28.00,52.30,34.40,38.80,36.80,71.90,74.00,0.00,54.20,64.00,63.20,64.70,75.00,50.00,12.66,35.00,32.00,23.70,29.41,Gambia,2.06,3.43,4.40,3.61,1666.60,29.70,7.23,-1.84,116.11
61,Georgia,Georgia,Europe,16.00,9.00,76.20,62.80,64.20,61.80,87.00,73.30,91.80,86.90,77.30,79.60,89.40,80.00,60.00,0.30,20.00,15.00,25.90,29.84,Georgia,3.70,37.17,2.80,3.99,10043.77,11.58,2.13,1661.42,44.89
62,Germany,Germany,Europe,25.00,14.00,74.20,81.00,78.00,75.30,61.30,41.30,90.80,86.10,53.30,86.20,86.90,80.00,70.00,1.57,47.50,15.80,36.94,44.24,Germany,82.73,3980.28,1.50,1.23,48110.85,4.31,0.38,9528.28,67.65
63,Ghana,Ghana,Sub-Saharan Africa,122.00,19.00,56.00,48.90,43.70,32.90,83.50,79.00,9.50,59.50,56.20,63.70,65.10,70.00,60.00,9.96,25.00,25.00,20.10,26.45,Ghana,27.57,121.65,3.50,5.71,4411.93,5.77,17.46,3485.30,72.42
64,Greece,Greece,Europe,115.00,43.00,57.30,52.30,59.00,37.90,60.40,20.90,70.50,74.40,54.40,81.00,81.90,55.00,40.00,1.57,42.00,29.00,36.78,51.35,Greece,10.85,289.40,-0.20,-2.08,26669.10,23.91,0.01,3126.25,181.33
65,Guatemala,Guatemala,Americas,73.00,14.00,63.40,40.40,33.10,27.30,79.20,95.30,95.30,57.30,48.30,77.60,87.20,70.00,50.00,1.39,31.00,31.00,12.70,12.54,Guatemala,16.67,131.70,4.00,3.60,7899.20,2.38,4.47,1180.80,25.29
66,Guinea,Guinea,Sub-Saharan Africa,146.00,29.00,52.20,32.40,28.20,26.90,65.90,80.60,61.00,54.10,54.00,71.80,61.20,50.00,40.00,11.91,40.00,35.00,24.10,25.43,Guinea,12.65,16.00,0.10,2.22,1264.53,6.85,8.17,104.35,55.99
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,118.00,15.00,56.90,31.10,53.50,27.30,86.40,85.60,87.10,47.80,61.10,77.40,65.20,30.00,30.00,9.90,20.00,25.00,18.40,21.91,Guinea-Bissau,1.66,2.88,4.80,2.56,1729.90,6.53,1.50,19.58,46.31
68,Guyana,Guyana,Americas,102.00,21.00,58.70,42.10,42.50,34.80,68.40,70.80,73.80,60.30,70.50,79.30,71.50,60.00,30.00,6.73,33.30,40.00,21.30,31.22,Guyana,0.77,6.05,3.00,4.06,7872.87,11.44,0.83,58.00,48.31
69,Haiti,Haiti,Americas,124.00,25.00,55.80,25.10,42.50,24.60,80.10,85.60,83.60,48.30,64.10,68.90,71.90,45.00,30.00,6.55,30.00,30.00,13.70,21.90,Haiti,10.85,19.35,1.00,2.52,1784.07,13.19,13.38,104.37,33.55
70,Honduras,Honduras,Americas,94.00,19.00,60.60,44.30,34.50,28.20,82.80,76.60,87.40,58.50,31.90,73.80,84.40,65.00,60.00,2.79,25.00,25.00,21.60,27.92,Honduras,8.19,43.17,3.60,3.44,5271.47,6.28,2.73,1002.10,45.40
71,Hong Kong,HongKong,Asia-Pacific,1.00,1.00,90.20,92.50,84.30,82.80,93.10,90.20,100.00,96.30,89.40,84.30,90.00,90.00,90.00,0.00,15.00,16.50,13.90,18.05,Hong Kong SAR,7.37,429.65,2.40,2.38,58321.65,3.42,2.59,108125.99,0.06
72,Hungary,Hungary,Europe,55.00,26.00,66.70,57.60,57.10,36.40,78.60,29.40,82.40,61.80,68.70,91.60,86.90,80.00,70.00,1.57,15.00,19.00,39.40,48.52,Hungary,9.84,270.29,2.90,1.94,27481.79,5.17,0.38,-5313.59,74.20
73,Iceland,Iceland,Europe,11.00,5.00,77.00,86.70,72.60,77.30,72.10,44.20,94.30,89.50,61.80,81.70,88.50,85.00,70.00,0.77,31.80,20.00,37.12,43.13,Iceland,0.34,16.52,4.00,3.77,49135.58,3.76,1.70,-484.41,53.23
74,India,India,Asia-Pacific,130.00,30.00,54.50,55.40,54.30,47.20,79.40,77.70,13.20,56.40,41.80,75.90,72.40,40.00,40.00,6.30,30.90,32.44,7.20,27.25,India,1309.35,8662.35,7.30,6.79,6615.78,3.46,4.87,44485.62,69.54
75,Indonesia,Indonesia,Asia-Pacific,69.00,15.00,64.20,49.30,45.20,42.80,83.70,90.70,89.40,57.30,50.30,81.60,80.50,40.00,60.00,2.27,30.00,25.00,10.40,17.58,Indonesia,258.71,3032.09,4.80,5.30,11720.27,5.60,3.53,2658.09,27.85
76,Iran,Iran,Middle East / North Africa,156.00,13.00,50.90,32.50,35.30,32.60,81.00,91.10,91.70,64.30,58.20,59.80,54.50,0.00,10.00,15.23,35.00,25.00,7.10,17.19,Iran,80.46,1454.52,0.00,0.09,18077.47,11.27,8.87,3372.00,35.00
77,Iraq,Iraq,Middle East / North Africa,N/A,N/A,N/A,36.70,11.40,23.40,N/A,45.41,11.89,59.10,69.77,79.21,N/A,N/A,N/A,N/A,15.00,15.00,n/a,42.66,Iraq,36.07,647.18,2.40,7.45,17943.71,16.05,0.44,-5911.20,63.69
78,Ireland,Ireland,Europe,6.00,2.00,80.40,87.70,79.00,79.00,76.10,69.60,80.80,81.80,76.40,87.40,86.90,90.00,70.00,1.57,41.00,12.50,23.59,31.86,Ireland,4.69,324.90,7.80,7.98,69230.82,8.09,-0.21,22304.45,76.42
79,Israel,Israel,Middle East / North Africa,31.00,3.00,72.20,78.20,83.10,61.20,60.90,51.80,79.00,71.80,65.10,85.30,85.50,75.00,70.00,2.23,48.00,25.00,31.37,40.07,Israel,8.54,300.58,2.60,3.29,35178.67,5.61,-0.55,12323.70,62.21
80,Italy,Italy,Europe,79.00,36.00,62.50,71.20,60.90,40.10,55.20,24.10,68.20,70.30,50.30,88.20,86.90,85.00,50.00,1.57,43.00,27.50,43.34,50.30,Italy,60.67,2234.50,0.80,-0.55,36833.09,11.54,-0.05,28954.82,132.60
81,Jamaica,Jamaica,Americas,40.00,5.00,69.10,60.90,56.60,39.40,80.00,77.20,79.50,78.70,74.50,82.00,70.80,80.00,50.00,9.59,25.00,25.00,27.30,27.59,Jamaica,2.83,25.39,1.10,0.54,8975.73,13.26,3.83,855.87,115.16
82,Japan,Japan,Asia-Pacific,30.00,8.00,72.30,86.00,73.20,79.20,67.40,54.10,49.30,81.70,79.20,85.40,82.30,70.00,60.00,1.36,40.80,23.90,32.00,39.13,Japan,126.90,5237.79,0.50,1.21,41274.61,3.14,-0.11,11388.41,239.18
83,Jordan,Jordan,Middle East / North Africa,62.00,5.00,64.90,57.60,57.30,51.90,92.40,69.40,27.70,63.00,58.90,88.70,82.00,70.00,60.00,3.98,14.00,20.00,13.00,31.96,Jordan,6.98,85.65,2.50,2.61,12278.21,13.24,-0.78,1538.87,94.99
84,Kazakhstan,Kazakhstan,Asia-Pacific,41.00,11.00,69.10,56.00,58.10,44.60,92.60,85.30,87.30,74.30,86.80,68.20,75.60,50.00,50.00,4.72,10.00,20.00,15.60,22.17,Kazakhstan,17.95,451.28,1.20,3.52,25144.88,5.23,14.55,9069.31,21.08
85,Kenya,Kenya,Sub-Saharan Africa,129.00,22.00,54.70,47.90,44.00,27.50,78.50,77.50,14.10,55.50,62.90,74.00,69.80,55.00,50.00,7.60,30.00,30.00,18.70,27.39,Kenya,45.45,152.76,5.60,5.45,3361.02,11.00,6.30,394.01,54.40
86,Kiribati,Kiribati,Asia-Pacific,159.00,40.00,50.80,45.00,35.30,37.90,72.40,0.00,98.50,53.10,71.60,82.00,58.20,25.00,30.00,15.90,35.00,35.00,17.50,117.64,Kiribati,0.12,0.21,4.20,4.02,1823.32,N/A,1.92,3.06,26.84
87,"Korea, North ",NorthKorea,Asia-Pacific,180.00,43.00,5.80,29.80,5.00,25.20,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,N/A,n/a,n/a,n/a,n/a,"Korea, North ",25.30,$15.1 (2015 nominal),1.0 (2014),N/A,n/a,4.28,N/A,93.02,n/a
88,"Korea, South",SouthKorea,Asia-Pacific,27.00,7.00,73.80,79.40,63.70,49.90,73.30,68.80,97.00,90.70,58.70,83.90,80.40,70.00,70.00,4.78,38.00,24.20,25.25,32.27,"Korea, South",51.25,1934.03,2.60,2.83,37740.40,3.65,0.97,10826.60,38.55
89,Kuwait,Kuwait,Middle East / North Africa,81.00,6.00,62.20,52.00,53.50,36.60,97.70,20.50,99.30,57.20,61.50,73.70,79.10,55.00,60.00,2.96,0.00,15.00,1.40,51.48,Kuwait,4.23,303.69,0.90,2.67,71887.33,2.44,3.21,274.74,18.59
90,Kyrgyz Republic,KyrgyzRepublic,Asia-Pacific,78.00,18.00,62.80,50.20,22.10,29.40,93.80,58.20,89.20,73.30,77.90,74.90,74.50,60.00,50.00,2.74,10.00,10.00,20.50,37.34,Kyrgyz Republic,6.11,21.50,3.50,4.42,3521.16,7.69,0.39,466.78,58.49
91,Laos,Laos,Asia-Pacific,138.00,34.00,53.60,34.10,41.40,33.10,86.70,79.30,60.20,65.40,55.00,76.00,56.60,35.00,20.00,14.19,24.00,24.00,13.40,26.27,Lao P.D.R.,7.16,40.90,7.00,7.65,5709.60,1.48,2.00,889.87,67.32
92,Latvia,Latvia,Europe,28.00,16.00,73.60,68.30,58.90,45.40,84.00,59.00,95.30,80.10,72.50,87.30,86.90,85.00,60.00,1.57,23.00,15.00,29.00,36.96,Latvia,1.97,50.62,2.70,2.68,25709.81,9.88,0.10,126.10,34.34
93,Lebanon,Lebanon,Middle East / North Africa,140.00,12.00,53.20,39.70,33.60,20.20,91.90,78.20,0.00,48.80,44.20,81.90,84.50,65.00,50.00,2.77,20.00,15.00,13.50,26.95,Lebanon,4.60,85.16,1.00,1.86,18524.56,6.78,-0.82,2563.92,143.42
94,Lesotho,Lesotho,Sub-Saharan Africa,136.00,25.00,53.90,49.40,52.70,32.90,48.20,23.80,90.50,52.90,58.90,74.20,68.50,55.00,40.00,8.24,35.00,25.00,59.60,50.38,Lesotho,1.94,6.98,2.50,3.54,3601.41,27.42,7.00,132.24,47.79
95,Liberia,Liberia,Sub-Saharan Africa,158.00,35.00,50.90,28.20,42.40,32.00,77.50,59.40,39.10,53.10,59.50,71.40,72.80,55.00,20.00,12.44,25.00,25.00,31.70,36.81,Liberia,4.40,3.76,0.00,3.29,855.12,4.00,8.84,453.18,44.80
96,Libya,Libya,Middle East / North Africa,N/A,N/A,N/A,5.20,22.10,23.10,90.50,0.00,19.89,63.50,45.94,56.23,80.00,5.00,N/A,0.00,10.00,20.00,21.30,92.93,Libya,6.39,55.41,-6.40,3.26,8678.46,19.22,27.11,492.56,7.40
97,Liechtenstein,Liechtenstein,Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.00,85.00,80.00,0.00,7.00,12.50,n/a,n/a,Liechtenstein,38000.00,$6.1 (2014 nominal),1.2 (2014),N/A,160526.00,2.4 (2015),N/A,n/a,n/a
98,Lithuania,Lithuania,Europe,19.00,11.00,75.30,73.80,66.70,50.90,86.40,63.90,96.70,73.40,64.50,89.90,86.90,80.00,70.00,1.57,15.00,15.00,30.10,34.71,Lithuania,2.87,86.05,1.60,2.98,29972.33,9.19,0.68,-207.87,40.01
99,Luxembourg,Luxembourg,Europe,14.00,7.00,76.40,82.70,77.90,79.00,65.10,48.50,99.00,69.20,46.20,87.60,86.90,95.00,80.00,1.57,42.00,19.00,36.96,41.43,Luxembourg,0.58,59.93,4.50,3.29,104003.30,5.94,0.11,26857.37,22.62
100,Macau,Macau,Asia-Pacific,34.00,9.00,70.90,60.00,60.00,36.40,75.30,91.00,100.00,60.00,50.00,73.60,90.00,85.00,70.00,0.00,12.00,39.00,28.30,17.36,Macau,0.66,62.57,-20.30,-1.26,95150.54,2.73,2.38,3026.70,0.00
101,Macedonia,Macedonia,Europe,33.00,18.00,71.30,64.80,57.00,47.40,91.60,70.30,78.10,82.90,69.00,81.80,87.80,65.00,60.00,1.12,10.00,10.00,25.20,31.48,Macedonia,2.07,30.27,3.70,2.47,14596.96,26.73,-0.24,396.51,38.68
102,Madagascar,Madagascar,Sub-Saharan Africa,119.00,16.00,56.80,33.20,21.40,17.80,90.30,92.90,82.50,45.60,41.50,73.40,78.00,55.00,50.00,5.99,20.00,20.00,13.00,15.37,Madagascar,24.92,37.49,3.00,3.17,1504.74,2.13,6.74,540.59,42.26
103,Malawi,Malawi,Sub-Saharan Africa,148.00,31.00,52.00,33.10,47.10,28.90,76.90,70.70,28.10,47.70,59.90,60.40,71.50,50.00,50.00,4.24,30.00,30.00,22.50,31.27,Malawi,18.63,21.14,3.00,3.60,1134.50,6.74,21.68,325.63,62.08
104,Malaysia,Malaysia,Asia-Pacific,22.00,6.00,74.50,83.80,65.20,54.80,85.60,81.30,80.70,83.90,75.80,85.60,87.40,60.00,50.00,1.28,25.00,25.00,13.80,24.94,Malaysia,31.66,863.28,5.00,5.08,27266.66,3.30,2.09,9925.95,56.25
105,Maldives,Maldives,Asia-Pacific,155.00,39.00,51.10,45.00,38.80,36.60,94.30,45.50,6.70,78.60,70.60,83.30,48.40,35.00,30.00,20.80,0.00,0.00,23.90,42.62,Maldives,0.35,5.50,1.90,3.99,15553.00,3.23,0.86,448.01,81.51
106,Mali,Mali,Sub-Saharan Africa,113.00,14.00,57.60,31.90,32.40,31.40,68.10,85.30,84.80,52.80,48.40,81.90,68.70,65.00,40.00,10.64,40.00,35.00,19.00,22.16,Mali,16.82,38.11,6.10,3.97,2266.00,8.10,-1.80,125.53,30.54
107,Malta,Malta,Europe,46.00,22.00,68.50,68.10,62.80,49.90,64.70,51.00,90.00,64.00,61.10,78.80,86.90,85.00,60.00,1.57,35.00,35.00,32.80,40.43,Malta,0.43,17.30,6.30,5.57,39833.84,5.32,0.90,3575.02,59.42
108,Mauritania,Mauritania,Sub-Saharan Africa,134.00,24.00,54.00,23.90,17.60,28.90,75.90,72.80,71.80,64.20,59.20,82.40,61.50,50.00,40.00,11.74,30.00,25.00,29.70,30.10,Mauritania,3.79,16.42,1.90,3.98,4327.96,11.66,1.47,271.65,99.61
109,Mauritius,Mauritius,Sub-Saharan Africa,21.00,1.00,75.10,68.70,69.60,52.10,91.00,80.70,73.70,77.50,66.80,82.90,88.70,80.00,70.00,0.63,15.00,15.00,21.20,25.35,Mauritius,1.27,25.89,3.40,3.43,20421.62,7.78,0.98,349.42,62.68
110,Mexico,Mexico,Americas,63.00,12.00,64.80,58.60,39.00,26.90,75.70,78.10,69.80,67.50,59.80,79.20,88.00,75.00,60.00,1.02,35.00,30.00,17.44,27.03,Mexico,122.27,2315.65,2.50,2.51,18938.32,4.02,2.82,26738.61,58.10
111,Micronesia,Micronesia,Asia-Pacific,143.00,36.00,52.30,5.20,25.40,38.80,93.20,7.40,98.70,57.60,67.40,83.80,85.60,35.00,30.00,2.20,10.00,21.00,12.00,55.57,Micronesia,0.10,0.33,-0.20,-0.29,3234.28,N/A,1.28,n/a,24.85
112,Moldova,Moldova,Europe,105.00,40.00,58.40,53.50,26.30,26.60,85.30,56.70,90.00,66.00,39.90,73.20,78.30,55.00,50.00,3.35,18.00,12.00,31.60,38.00,Moldova,3.55,18.92,-1.10,3.41,5327.97,4.98,6.38,143.15,38.09
113,Mongolia,Mongolia,Asia-Pacific,125.00,27.00,55.70,51.00,30.90,34.80,88.40,57.10,3.80,67.00,75.60,79.10,75.90,45.00,60.00,4.57,10.00,25.00,20.90,37.80,Mongolia,3.01,37.00,2.30,7.04,12274.89,6.69,0.55,-4072.14,90.00
114,Montenegro,Montenegro,Europe,68.00,33.00,64.30,54.20,51.30,38.10,85.20,35.70,69.10,72.90,70.90,84.90,84.70,75.00,50.00,2.63,9.00,9.00,36.30,46.31,Montenegro,0.62,10.36,4.10,1.67,16643.18,17.49,-0.42,226.26,71.32
115,Morocco,Morocco,Middle East / North Africa,86.00,7.00,61.90,53.80,44.30,41.30,70.50,70.50,60.60,69.60,36.00,82.30,79.40,65.00,70.00,2.79,38.00,30.00,24.60,31.35,Morocco,33.83,281.79,4.50,3.22,8330.40,9.98,1.60,2321.80,64.69
116,Mozambique,Mozambique,Sub-Saharan Africa,170.00,42.00,46.30,35.40,36.30,28.20,70.60,60.70,0.00,58.00,37.80,66.70,76.70,35.00,50.00,4.17,32.00,32.00,29.80,36.20,Mozambique,28.75,34.94,6.30,6.36,1215.32,24.37,19.20,3093.43,115.20
117,Namibia,Namibia,Sub-Saharan Africa,103.00,11.00,58.50,56.60,54.20,45.40,63.00,50.40,16.50,67.50,85.50,74.80,83.30,65.00,40.00,0.87,37.00,34.00,34.30,40.67,Namibia,2.30,25.96,4.50,4.51,11289.73,25.59,6.73,274.85,42.07
118,Nepal,Nepal,Asia-Pacific,133.00,32.00,54.10,37.50,36.20,24.60,84.20,87.60,98.50,64.60,43.50,65.80,66.60,10.00,30.00,11.72,25.00,25.00,18.30,20.34,Nepal,28.85,71.53,3.40,3.64,2478.94,3.21,9.93,105.94,27.27
119,Netherlands,Netherlands,Europe,17.00,10.00,76.20,87.90,74.10,86.00,52.50,39.10,88.20,80.50,61.50,87.50,86.90,90.00,80.00,1.57,52.00,25.00,37.75,45.05,Netherlands,17.03,869.37,1.90,0.84,51049.02,6.17,0.11,91956.17,62.57
120,New Zealand,NewZealand,Asia-Pacific,3.00,3.00,84.20,95.10,88.40,95.70,70.50,49.50,98.30,91.50,84.40,90.00,87.40,80.00,80.00,1.32,33.00,28.00,32.76,41.04,New Zealand,4.75,177.00,3.40,2.91,37293.98,5.25,0.65,2291.63,29.50
121,Nicaragua,Nicaragua,Americas,100.00,20.00,58.90,29.80,19.00,24.20,77.20,80.00,94.80,60.20,57.30,73.00,81.00,60.00,50.00,2.00,30.00,30.00,22.00,25.83,Nicaragua,6.15,33.55,4.50,4.86,5451.71,5.89,3.10,887.80,31.08
122,Niger,Niger,Sub-Saharan Africa,160.00,36.00,49.50,37.40,32.60,30.40,73.30,72.90,15.80,45.50,45.70,83.50,61.50,55.00,40.00,11.77,35.00,30.00,23.40,30.08,Niger,18.19,20.14,4.00,6.46,1107.18,2.63,1.10,292.83,45.94
123,Nigeria,Nigeria,Sub-Saharan Africa,104.00,12.00,58.50,38.00,39.60,14.40,84.40,96.30,80.90,49.30,81.50,66.90,65.50,45.00,40.00,9.75,24.00,30.00,9.00,11.04,Nigeria,183.64,1091.23,2.70,3.42,5942.35,5.01,15.70,4448.73,18.62
124,Norway,Norway,Europe,23.00,12.00,74.30,86.40,86.00,93.60,56.40,29.20,97.80,90.40,54.60,73.90,87.90,75.00,60.00,1.04,47.80,25.00,38.07,48.57,Norway,5.26,364.44,1.60,1.66,69249.46,4.81,3.55,-5532.74,33.20
125,Oman,Oman,Middle East / North Africa,93.00,8.00,61.00,59.50,57.40,51.50,98.50,25.00,17.70,76.30,55.20,79.20,86.20,65.00,60.00,1.90,0.00,12.00,8.50,50.00,Oman,3.96,184.79,4.10,4.70,46697.96,17.52,1.10,142.00,34.27
126,Pakistan,Pakistan,Asia-Pacific,131.00,31.00,54.40,36.00,34.00,27.30,78.50,88.20,54.00,55.30,40.60,77.70,65.90,55.00,40.00,9.53,30.00,33.00,12.60,19.80,Pakistan,193.56,988.24,4.20,4.06,5105.60,5.87,2.86,2006.00,66.89
